"","variable","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","X1",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"2","CANON KK",54,58,45,28,33,33,15,18,19,22,11,8,5,14,16,12,4,10,13,9
"3","FUJITSU LTD",23,31,40,36,17,20,18,25,26,16,7,8,7,3,12,8,10,9,2,1
"4","HITACHI LTD",48,75,56,49,32,33,30,23,31,26,17,14,15,7,1,4,4,NA,2,2
"5","HUAWEI TECH CO LTD",2,1,10,13,34,70,127,134,115,123,54,68,57,43,42,36,21,28,28,47
"6","LG ELECTRONICS INC",103,146,198,203,183,195,143,56,69,78,135,75,77,91,74,77,129,98,84,76
"7","MATSUSHITA ELECTRIC IND CO LTD",138,184,155,161,181,168,134,40,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","MATSUSHITA ELECTRIC WORKS LTD",82,66,63,45,50,79,79,41,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MITSUBISHI ELECTRIC CORP",50,51,41,18,29,33,23,22,28,25,24,35,40,62,79,45,34,20,31,10
"10","NEC CORP",90,79,41,25,39,29,20,33,22,38,17,17,11,11,7,5,5,5,4,7
"11","RICOH KK",24,38,22,27,31,18,16,15,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","SAMSUNG ELECTRONICS CO LTD",55,57,58,114,88,156,191,129,83,99,60,66,63,75,82,219,168,383,353,228
"13","SANYO ELECTRIC CO",54,65,46,26,51,30,18,14,13,14,7,15,10,1,2,2,1,1,3,2
"14","SEKISUI CHEMICAL CO LTD",61,36,39,40,28,17,10,8,3,8,10,7,5,2,8,4,7,5,8,1
"15","SEKISUI HOUSE KK",169,128,51,26,25,21,21,14,25,4,4,8,15,3,4,8,6,3,17,5
"16","SHARP KK",47,41,29,35,30,37,25,29,19,29,43,36,66,19,32,42,18,12,14,7
"17","SONY CORP",68,70,50,68,51,30,37,41,37,30,24,21,13,11,12,8,11,20,12,3
"18","TOSHIBA CORP",65,57,55,57,36,41,34,35,21,14,19,17,23,20,13,10,8,3,10,NA
"19","ZTE CORP",NA,NA,NA,2,6,7,38,96,130,186,220,148,115,59,71,61,61,53,27,9
