publication_country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,19.0,49.0,66.0,59.0,50.0,39.0,36.0,45.0,46.0,47.0,54.0,53.0,66.0,53.0,59.0,69.0,77.0,68.0,62.0,47.0,57.0,49.0,16.0
China,NA,NA,NA,NA,NA,NA,1.0,NA,NA,2.0,1.0,2.0,4.0,1.0,5.0,3.0,5.0,5.0,6.0,6.0,3.0,7.0,9.0
Eurasian Patent Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA
European Patent Office,22.0,29.0,36.0,29.0,26.0,29.0,27.0,34.0,36.0,60.0,48.0,56.0,54.0,55.0,75.0,58.0,62.0,47.0,67.0,62.0,56.0,58.0,48.0
Germany,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,6.0,3.0,7.0,6.0,6.0,9.0,3.0,3.0,5.0,1.0,2.0,7.0
Israel,NA,NA,1.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,3.0,3.0,1.0,6.0,NA,2.0,2.0,1.0,1.0,2.0,3.0,1.0
Japan,NA,NA,NA,NA,NA,NA,NA,NA,17.0,26.0,27.0,15.0,16.0,15.0,13.0,14.0,24.0,9.0,14.0,5.0,6.0,4.0,NA
"Korea, Republic of",NA,NA,NA,1.0,NA,NA,1.0,1.0,10.0,2.0,17.0,21.0,18.0,16.0,21.0,43.0,31.0,29.0,17.0,17.0,14.0,18.0,30.0
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,2.0,2.0,NA,NA,3.0,2.0,4.0,4.0,2.0,NA,NA
Patent Co-operation Treaty,8.0,13.0,31.0,16.0,20.0,22.0,23.0,26.0,34.0,46.0,63.0,85.0,77.0,91.0,73.0,96.0,102.0,103.0,121.0,65.0,79.0,92.0,80.0
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,1.0,NA,2.0,1.0,1.0,NA,NA,1.0
Russian Federation,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,1.0,NA,1.0
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2.0,3.0,3.0,3.0,3.0,1.0,9.0,7.0,3.0,4.0,3.0,NA,6.0,3.0,2.0,4.0,3.0,3.0,4.0,NA,NA,NA,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA
United States of America,86.0,58.0,73.0,91.0,58.0,79.0,81.0,67.0,64.0,95.0,118.0,156.0,206.0,256.0,242.0,241.0,250.0,248.0,295.0,244.0,286.0,253.0,288.0
